;database_title;city;views;downloads;last_updated;download_link;description
10;Traffic Incidents Archive 2016 ; calgary  ;790;1342;2017-11-13 22:35:06+00:00;  https://data.calgary.ca/d/mmhp-hpsq ;Traffic Incidents Archive 2016 - Traffic incidents within The City of Calgary updated every 30 minutes. See Source URL for RSS feed which updates every 10 minutes.
11;School Locations ; calgary  ;665;244;2017-11-13 22:35:31+00:00;  https://data.calgary.ca/d/fd9t-tdn2 ;School Locations - Calgary school locations.  Data provided by CBE, CSSD, and provincial school data.
12;Fire Station Services ; calgary  ;608;146;2017-11-23 15:02:52+00:00;  https://data.calgary.ca/d/5u44-8x88 ;Fire Station Services - Provides fire station locations and the services available at each station.
13;Quality of life indicators ; calgary  ;540;62;2017-08-17 17:24:28+00:00;  https://data.calgary.ca/d/vnha-3kkk ;Quality of life indicators - Partial data for select quality of life indicators
14;Subdivision and Development Appeal Board Rulings 2016 ; calgary  ;489;89;2017-11-13 22:38:23+00:00;  https://data.calgary.ca/d/k8qh-s3as ;Subdivision and Development Appeal Board Rulings 2016 - This file contains Subdivision and Development Appeal Board Rulings for 2016. Additional information about the Subdivision and Development Appeal Board can be found at Subdivision and Development Appeal Board Page on calgary.sdab.ca.
15;Alberta Open Data Portals ; calgary  ;490;52;2017-11-13 22:38:01+00:00;  https://data.calgary.ca/d/uumr-spb3 ;Alberta Open Data Portals - This is the list of Open Government Data Portals in the Province of Alberta.
16;Subdivision And Development Appeal Board Rulings 2017 ; calgary  ;482;62;2017-11-21 18:11:23+00:00;  https://data.calgary.ca/d/s8fh-9yq5 ;Subdivision And Development Appeal Board Rulings 2017 - This file contains Subdivision and Development Appeal Board Rulings for 2017. Additional information about the Subdivision and Development Appeal Board can be found at Subdivision and Development Appeal Board Page on calgary.sdab.ca.
17;tion; calgary  ;432;56;2017-11-23 16:17:15+00:00;  https://data.calgary.ca/d/uyhv-3wsg ;Building Regulations Single Construction Permits
18;Assessment Review Board Decisions - 2016 ; calgary  ;422;25;2017-06-21 14:25:53+00:00;  https://data.calgary.ca/d/9ghb-58b6 ;Assessment Review Board Decisions - 2016 - This data set contains information on decisions made by the Assessment Review Board (ARB) during the year 2016. For more information on ARB decisions go to: https://arb.calgary.ca/eCourtPublicCarb/?q=node/414
19;311 Call Centre ; calgary  ;417;514;2017-11-22 21:15:08+00:00;  https://data.calgary.ca/d/hk5h-uv5k ;311 Call Centre - This dataset contains the daily 311 call center activity
20;City of Calgary Careers ; calgary  ;409;50;2017-11-23 15:00:11+00:00;  https://data.calgary.ca/d/5fsi-n9xm ;City of Calgary Careers - This dataset contains the job opportunities with The City of Calgary. City of Calgary employees operate the facilities, deliver the services and run the programs that support our city. Our corporate vision is “working together to create and sustain a vibrant, healthy, safe and caring community.” If you have a passion for public service and want to make a difference in the lives of all Calgarians, consider coming to work with us.
21;Construction Detours ; calgary  ;404;50;2017-11-23 10:00:20+00:00;  https://data.calgary.ca/d/w8zq-79bq ;Construction Detours - Construction detours within The City of Calgary updated twice a day. (3 am and 3 pm) See Source URL for RSS feed which updates more regularly.
22;Traffic Incidents Archive 2017 ; calgary  ;386;8436;2017-11-23 18:20:49+00:00;  https://data.calgary.ca/d/himp-urp7 ;Traffic Incidents Archive 2017 - An archive of traffic incidents within The City of Calgary. The data source is checked every 10 minutes for updates. See Source URL for RSS feed of current incidents.
23;Historic Resources ; calgary  ;359;85;2017-11-13 22:38:19+00:00;  https://data.calgary.ca/d/jun7-x6n9 ;Historic Resources - The Inventory is a list of historic resources, including, but not limited to: buildings, structures, archeological sites, cultural landscapes, and parks that the CHA has evaluated and formally acknowledged to have significant heritage value.  For additional information on the evaluation criteria and information in this dataset please refer to the following document:  http://www.calgary.ca/PDA/pd/Documents/Heritage-planning/heritage-resources/heritage-calgary-historic-res-eval-system-hndbk.pdf
24;Secondary Suites ; calgary  ;351;54;2017-11-20 15:02:21+00:00;  https://data.calgary.ca/d/jwn6-r58y ;Secondary Suites - This dataset contains information about approved secondary suites in The City of Calgary. It can be viewed on an interactive map at http://secondarysuites.calgary.ca/
25;Central Business District Cordon Count 2016 ; calgary  ;340;59;2017-11-15 23:47:14+00:00;  https://data.calgary.ca/d/dsje-mu8i ;Central Business District Cordon Count 2016 - Every year in May, The City conducts the Central Business District (CBD) cordon count. The cordon count is performed at 31 locations around the CBD over a three week time period, collecting data on how people travel into and out of downtown Calgary. The CBD cordon circles the downtown with the Bow River to the north and the railway tracks to the south and from 11 Street in the west to the Elbow River in the east. These data represent the total number of persons entering (inbound) and exiting (outbound) at each location, by modes, during a 16 hour time period. This raw dataset is NOT normalized to average weekday. It is a snapshot of the inbound and outbound activity on a single day at these locations and reflects conditions specific to that day such as construction, lane closures, weather, etc. Therefore, data may not be directly comparable between locations or years.  *Attachment is a summary of the inbound and outbound totals and mode of travel.* For additional information on cordon counts, see About --> Source URL.
26;Community Points ; calgary  ;338;93;2017-11-10 23:12:55+00:00;  https://data.calgary.ca/d/j9ps-fyst ;Community Points - The set of community points. Each point identifies the centroid of the community it is located in.
27;Assessments by Community ; calgary  ;326;60;2017-04-19 20:36:00+00:00;  https://data.calgary.ca/d/p84b-7zbi ;Assessments by Community - This dataset contains assessment accounts and value by community
28;City of Calgary Newsroom ; calgary  ;311;34;2017-11-23 00:00:12+00:00;  https://data.calgary.ca/d/3x6m-4vs7 ;City of Calgary Newsroom - This is an aggregate news feed from a number of City sources.
29;Calgary Transit Access Performance ; calgary  ;311;53;2017-11-20 19:08:49+00:00;  https://data.calgary.ca/d/jdeg-ddt3 ;Calgary Transit Access Performance - This dataset provides information about the on time performance for Calgary Transit Access
30;ns; calgary  ;297;134;2017-10-30 17:16:14+00:00;  https://data.calgary.ca/d/2axz-xm4q ;Transit LRT Stations
31;Air Quality Data ; calgary  ;284;27;2017-11-15 00:41:24+00:00;  https://data.calgary.ca/d/uqjm-jxgp ;"Air Quality Data - This dataset makes historical air quality data accessible for various parameters at Calgary monitoring stations. The data is collected by the Calgary Regional Airshed and Alberta Environment and Parks groups. The data is collected via a web service provided by the Alberta Environmental Monitoring, Evaluation & Reporting Agency (AEMERA). AEMERA provides access to historical air quality data at its air quality stations. Prior to 2011, Alberta used the US EPA's Air Quality Index calculation method, which produces an index ranging from 0 to 500 (with <100 corresponding to ""good"" (0-50) or ""moderate"" (51-100) air quality).  Since 2011, Alberta has used the Canadian 10-point Air Quality Health Index scale, with calculations augmented to include additional pollutants.  Further information on the AQHI calculation is available at: http://aep.alberta.ca/air/air-quality-health-index/AQHI-calculation.aspx"
32;Assessment Annual Accounts ; calgary  ;265;40;2017-04-19 20:35:33+00:00;  https://data.calgary.ca/d/ar9r-vhkw ;Assessment Annual Accounts - This dataset contains annual accounts by classification
33;311 Call Centre Daily ; calgary  ;249;34;2017-11-22 21:15:14+00:00;  https://data.calgary.ca/d/t9wp-tihc ;311 Call Centre Daily - This dataset contains the daily 311 call centre activity and method of receipt of the request.
34;Recreation Registered Programs ; calgary  ;252;45;2017-11-20 17:14:36+00:00;  https://data.calgary.ca/d/vsrz-etmy ;Recreation Registered Programs - This dataset contains recreation program-level data
35;Calgary Seniors Directory ; calgary  ;243;48;2017-11-13 22:34:32+00:00;  https://data.calgary.ca/d/jrtv-xvvd ;Calgary Seniors Directory - This dataset contains a list of services for Calgary seniors.
36;Calgary Police Service Office Locations ; calgary  ;243;58;2017-11-13 22:38:09+00:00;  https://data.calgary.ca/d/ap4r-bav3 ;Calgary Police Service Office Locations - Locations of Calgary Police Service offices
37;Fire Response Time ; calgary  ;223;39;2017-11-20 17:10:08+00:00;  https://data.calgary.ca/d/eaex-8bh9 ;Fire Response Time - This dataset contains percentage of first-in units to arrive at the scene of fire within seven minutes.
38;Waste per Capita ; calgary  ;223;37;2017-04-28 21:34:06+00:00;  https://data.calgary.ca/d/nyvz-ddbn ;Waste per Capita - This dataset contains the number of kilograms of waste landfilled per capita in The City of Calgary
39;Subdivision and Development Appeal Board Rulings 2015 ; calgary  ;217;77;2017-11-13 22:38:26+00:00;  https://data.calgary.ca/d/kpc5-v9tp ;Subdivision and Development Appeal Board Rulings 2015 - This file contains Subdivision and Development Appeal Board Rulings for 2015. Additional information about the Subdivision and Development Appeal Board can be found at Subdivision and Development Appeal Board Page on calgary.ca.
40;Transit Person Crime and Ridership ; calgary  ;210;39;2017-04-19 21:47:19+00:00;  https://data.calgary.ca/d/b6q3-smff ;Transit Person Crime and Ridership - This dataset contains Transit ridership and person crimes and incidents that include assault, robbery, and sex crimes (In Calgary Transit this includes inappropriate touching)
41;Active Development Permit Applications ; calgary  ;206;33;2017-11-23 11:00:38+00:00;  https://data.calgary.ca/d/gmmz-2tuv ;Active Development Permit Applications - Active applications for development permits, including: additions, change of use, renovations, relaxations, revisions, temporary use, new developments, etc.  To track the status of these applications, visit https://developmentmap.calgary.ca
42;Active Land Use Redesignation Applications ; calgary  ;200;23;2017-11-23 11:00:27+00:00;  https://data.calgary.ca/d/6xr2-xfat ;Active Land Use Redesignation Applications - Active applications for land use redesignation, outline plans and road closures.  To track the status of these applications, visit https://developmentmap.calgary.ca
43;Other QoL Indicators ; calgary  ;191;19;2017-11-15 16:54:17+00:00;  https://data.calgary.ca/d/cd4k-d8nb ;Other QoL Indicators - This dataset contains information on yearly updates for driving alone to work, accessibility to transit, access to daily needs & services, community belonging, greenhouse gas emissions, river withdrawals, active adults and urban canopy coverage
44;ro; calgary  ;179;20;2017-11-15 16:53:16+00:00;  https://data.calgary.ca/d/nbta-7ws9 ;Prosperous City Indicators
45;Building Regulations Single Construction Permits Daily ; calgary  ;170;38;2017-11-23 16:15:53+00:00;  https://data.calgary.ca/d/gbs2-6vpn ;Building Regulations Single Construction Permits Daily - This dataset contains information about single construction permits issued in The City of Calgary
46;m; calgary  ;164;79;2017-11-13 22:37:50+00:00;  https://data.calgary.ca/d/x34e-bcjz ;Community Services
47;Land Use Designations ; calgary  ;164;18;2017-11-23 11:00:03+00:00;  https://data.calgary.ca/d/svbi-k49z ;Land Use Designations - A listing of land use designations in the city of Calgary and a description associated with each land use.
48;Recreation Facilities ; calgary  ;162;63;2017-11-23 15:03:06+00:00;  https://data.calgary.ca/d/hxfu-6d96 ;Recreation Facilities - Names and addresses for recreation facilities.  Includes amenities available at each location.
49;Calgary Police Indicators - Numbers ; calgary  ;158;30;2017-11-15 16:55:03+00:00;  https://data.calgary.ca/d/t5cu-zw22 ;Calgary Police Indicators - Numbers - This dataset consists of numbers for casualty collision, pedestrian collisions, person crimes, property crimes and total disorder. The numbers are represented for full year for 2014 and 2015 and for each quarter from 2016 onwards
50;Fire Response Time Year to Date ; calgary  ;151;31;2017-11-20 17:10:09+00:00;  https://data.calgary.ca/d/bmdy-qq3k ;Fire Response Time Year to Date - This dataset contains percentage of first-in units to arrive at the scene of fire within seven minutes.
51;Building Regulations Single Construction Permits Year to Date ; calgary  ;148;36;2017-11-23 16:16:10+00:00;  https://data.calgary.ca/d/9bg8-x3m2 ;Building Regulations Single Construction Permits Year to Date - This dataset contains information about single construction permits issued in The City of Calgary
52;311 Call Centre Monthly ; calgary  ;144;32;2017-11-21 21:16:14+00:00;  https://data.calgary.ca/d/576r-ksu7 ;311 Call Centre Monthly - This dataset contains the daily 311 call centre activity and method of receipt of the request.
53;Transit Peace Officer Calls ; calgary  ;142;52;2017-11-01 16:55:09+00:00;  https://data.calgary.ca/d/h5nx-7iyn ;Transit Peace Officer Calls - This dataset contains transit peace officer calls starting in 2014. This includes the date of the call (Year, Month, Day), the Call Source, and the Call Category.
54;Waste Blue Carts ; calgary  ;141;35;2017-11-15 17:14:34+00:00;  https://data.calgary.ca/d/hu7w-6qdt ;Waste Blue Carts - This dataset contains the number of blue carts managed by The City of Calgary's Waste and Recycling Services business units.(Year, Month, Blue cart household count)
55;Transit Peace Officer Calls Daily ; calgary  ;142;34;2017-11-01 16:56:28+00:00;  https://data.calgary.ca/d/w2wh-829k ;Transit Peace Officer Calls Daily - This dataset contains transit peace officer calls starting in 2014. This includes the date of the call (Year, Month, Day), the Call Source, and the Call Category.
56;Parks Amenity Equipment ; calgary  ;140;38;2017-11-23 15:06:57+00:00;  https://data.calgary.ca/d/7v8c-cjjm ;Parks Amenity Equipment - Park amenities maintained by Calgary Parks or located on lands under Calgary Park’s stewardship.
57;Central Business District Cordon Count 2017 ; calgary  ;138;12;2017-11-16 16:24:58+00:00;  https://data.calgary.ca/d/hzux-dsmm ;Central Business District Cordon Count 2017 - Every year in May, The City conducts the Central Business District (CBD) cordon count. The cordon count is performed at 31 locations around the CBD over a three week time period, collecting data on how people travel into and out of downtown Calgary. The CBD cordon circles the downtown with the Bow River to the north and the railway tracks to the south and from 11 Street in the west to the Elbow River in the east. These data represent the total number of persons entering (inbound) and exiting (outbound) at each location, by modes, during a 16 hour time period. This raw dataset is NOT normalized to average weekday. It is a snapshot of the inbound and outbound activity on a single day at these locations and reflects conditions specific to that day such as construction, lane closures, weather, etc. Therefore, data may not be directly comparable between locations or years.  *Attachment is a summary of the inbound and outbound totals and mode of travel.* For additional information on cordon counts, see About --> Source URL.
58;Water Single Family Consumption ; calgary  ;130;37;2017-11-22 21:02:10+00:00;  https://data.calgary.ca/d/j7mp-h975 ;Water Single Family Consumption - This dataset contains single family includes consumption of metered and flat rate customers living in detached homes and duplexes.
59;Communities by Ward ; calgary  ;126;59;2017-03-16 16:07:11+00:00;  https://data.calgary.ca/d/jd78-wxjp ;Communities by Ward - A list of communities with what Ward they are in.   Note:  Ward boundaries do not follow community boundaries, therefore there may be some instances where a portion of a community is in an adjacent Ward.  Please see the Community and Ward maps to confirm
60;Playground Equipment ; calgary  ;125;43;2017-11-23 15:08:15+00:00;  https://data.calgary.ca/d/bdu9-amk8 ;Playground Equipment - Playground equipment maintained by Calgary Parks or located on lands under Calgary Park’s stewardship.
61;Fire Response Flame Spread ; calgary  ;121;35;2017-04-19 20:56:27+00:00;  https://data.calgary.ca/d/cfrr-izv5 ;Fire Response Flame Spread - This dataset contains the percentage of fires contained to the room or object of origin.
62;Calgary Transit Access Performance ; calgary  ;121;40;2017-11-20 19:08:58+00:00;  https://data.calgary.ca/d/d8ar-9zxg ;Calgary Transit Access Performance - This dataset provides information about the on time performance for Calgary Transit Access
63;Roads Maintenance Summer Activity ; calgary  ;120;35;2017-09-29 16:02:46+00:00;  https://data.calgary.ca/d/fx97-rv6k ;Roads Maintenance Summer Activity - This dataset includes the % of assets rated as good or very good for the years 2012, 2013, 2014 and 2015.
64;Public Art ; calgary  ;120;2;2017-11-16 22:56:39+00:00;  https://data.calgary.ca/d/2kp2-hsy7 ;Public Art - Information about artworks in The City of Calgary Public Art Collection, including locations, titles, artists, and descriptions of the artwork.  For more information, visit: www.calgary.ca/publicart
65;Parks Monuments ; calgary  ;118;42;2017-11-23 15:06:48+00:00;  https://data.calgary.ca/d/hh57-r3mr ;Parks Monuments - Monuments maintained by Calgary Parks or located on lands under Calgary Park’s stewardship.
66;Transit Major CTrain Delays ; calgary  ;117;10;2017-10-13 16:59:18+00:00;  https://data.calgary.ca/d/3t6d-e8va ;Transit Major CTrain Delays - This dataset contains major CTrain delay time and causation
67;Assessment Review Board Decisions - 2013 ; calgary  ;113;19;2017-06-21 14:27:35+00:00;  https://data.calgary.ca/d/twxz-kuzg ;Assessment Review Board Decisions - 2013 - This data set contains information on decisions made by the Assessment Review Board (ARB) during the year 2013. For more information on ARB decisions go to: https://arb.calgary.ca/eCourtPublicCarb/?q=node/414
68;Water Single Family Consumption ; calgary  ;112;41;2017-11-22 21:02:19+00:00;  https://data.calgary.ca/d/vkdy-iyf9 ;Water Single Family Consumption - This dataset contains single family includes consumption of metered and flat rate customers living in detached homes and duplexes
69;Building Regulations Single Construction Permits Monthly ; calgary  ;109;34;2017-11-23 16:16:19+00:00;  https://data.calgary.ca/d/7znr-zkte ;Building Regulations Single Construction Permits Monthly - This dataset contains information about single construction permits issued in The City of Calgary
70;Building Regulations Single Construction Permits Annual ; calgary  ;104;33;2017-11-23 16:16:01+00:00;  https://data.calgary.ca/d/itsy-vgbr ;Building Regulations Single Construction Permits Annual - This dataset contains information about single construction permits issued in The City of Calgary
71;s ; calgary  ;102;28;2017-04-19 21:45:25+00:00;  https://data.calgary.ca/d/f2z2-v6pn ;Roads SNIC KMs Travelled
72;Compensation Disclosure List ; calgary  ;103;9;2017-11-10 23:12:10+00:00;  https://data.calgary.ca/d/9bze-mzx6 ;Compensation Disclosure List - The City’s compensation disclosure list includes position titles and base salary ranges as approved by Council in 2014.  For more information see http://www.calgary.ca/CA/cmo/Pages/Compensationdisclosure.aspx
73;311 Customer Satisfaction Survey ; calgary  ;99;33;2017-07-05 21:34:17+00:00;  https://data.calgary.ca/d/5dtx-2ua3 ;311 Customer Satisfaction Survey - This dataset contains responses for satisfaction with key elements of call experience including overall experience with 311 staff and  satisfaction that staff provided accurate information are included.
74;Roads Maintenance Condition Of Assets ; calgary  ;103;29;2017-08-03 16:09:34+00:00;  https://data.calgary.ca/d/nthd-rexj ;Roads Maintenance Condition Of Assets - This dataset includes the % of assets rated as good or very good for the years 2012, 2013 , 2014 and 2015.
75;Finance Investment Returns ; calgary  ;95;9;2017-11-10 18:05:05+00:00;  https://data.calgary.ca/d/6nu3-wt4w ;Finance Investment Returns - This dataset contains Finance' investment return ratings
76;Water Annual River Withdrawals ; calgary  ;95;32;2017-05-09 00:25:17+00:00;  https://data.calgary.ca/d/fn5e-dzq9 ;Water Annual River Withdrawals - Total annual river withdrawals is the total volume of water withdrawn from the Bow and Elbow rivers measured in megalitres (ML).
77;Calgary Transit Access Customer Base ; calgary  ;91;47;2017-04-19 21:46:30+00:00;  https://data.calgary.ca/d/36v7-y3h2 ;Calgary Transit Access Customer Base - This dataset contains Calgary Transit Access customer counts by community in 2015
78;Parks Water Delivery ; calgary  ;90;32;2017-11-23 15:05:07+00:00;  https://data.calgary.ca/d/mxuz-hecb ;Parks Water Delivery - Describes the types of assets which provide water to plumbing fixtures maintained by Calgary Parks or located on lands under Calgary Parks Stewardship.
79;Water Toilet Rebates Issued ; calgary  ;87;31;2017-07-05 22:26:01+00:00;  https://data.calgary.ca/d/na4q-dc3f ;Water Toilet Rebates Issued - This dataset contains number of rebates issued through the residential, multi-family and hotel/motel replacement programs
80;Finance Long Term Debt ; calgary  ;87;8;2017-08-24 17:08:32+00:00;  https://data.calgary.ca/d/5xvz-5s7a ;Finance Long Term Debt - This dataset contains outstanding Finance' long term debt and MGA debt limit per year
81;Calgary.ca Web Analytics Top Downloads Past 30 Days ; calgary  ;87;4;2017-11-23 16:45:23+00:00;  https://data.calgary.ca/d/39t3-dqne ;Calgary.ca Web Analytics Top Downloads Past 30 Days - The top 100 files downloaded from City of Calgary web pages over the past 30 days.
82;311 Service Requests Monthly ; calgary  ;87;25;2017-11-23 15:15:38+00:00;  https://data.calgary.ca/d/tdc2-hzbk ;311 Service Requests Monthly - This dataset contains the daily 311 service requests submitted.
83;Assessment Review Board Decisions - 2015 ; calgary  ;82;19;2017-06-21 14:28:08+00:00;  https://data.calgary.ca/d/tk53-dzha ;Assessment Review Board Decisions - 2015 - This data set contains information on decisions made by the Assessment Review Board (ARB) during the year 2015. For more information on ARB decisions go to: https://arb.calgary.ca/eCourtPublicCarb/?q=node/414
84; Ca; calgary  ;79;31;2017-04-19 21:51:13+00:00;  https://data.calgary.ca/d/5gvf-aa45 ;Waste Cit Sat Blue Cart
85;311 Customer Satisfaction Survey ; calgary  ;78;30;2017-04-19 21:08:02+00:00;  https://data.calgary.ca/d/xkj3-r8v4 ;311 Customer Satisfaction Survey - This dataset contains responses for satisfaction with key elements of call experience including overall experience with 311 staff and  satisfaction that staff provided accurate information are included.
86;Waste Blue Cart Citizen Satisfaction ; calgary  ;77;34;2017-05-08 21:41:32+00:00;  https://data.calgary.ca/d/s6cw-akq6 ;Waste Blue Cart Citizen Satisfaction - This dataset contains W&RS Annual citizen satisfaction survey results.
87;Calgary.ca Web Analytics Past 7 Days ; calgary  ;77;1;2017-11-23 16:45:10+00:00;  https://data.calgary.ca/d/dmrk-q4ck ;Calgary.ca Web Analytics Past 7 Days - The top 100 City of Calgary web pages based on visits over the past 7 days.
88;Transit Safety Ratings Annual Average ; calgary  ;74;28;2017-08-08 17:44:23+00:00;  https://data.calgary.ca/d/5d3d-pash ;Transit Safety Ratings Annual Average - This dataset contains the results of Calgary Transit's safety rating annual average.
89;Assessment Review Board Decisions - 2014 ; calgary  ;74;17;2017-06-21 14:27:02+00:00;  https://data.calgary.ca/d/rwnn-bwrp ;Assessment Review Board Decisions - 2014 - This data set contains information on decisions made by the Assessment Review Board (ARB) during the year 2014. For more information on ARB decisions go to: https://arb.calgary.ca/eCourtPublicCarb/?q=node/414
90;Subdivision and Development Appeal Board Rulings 2014 ; calgary  ;74;44;2017-10-05 21:25:09+00:00;  https://data.calgary.ca/d/9g9p-fp7x ;Subdivision and Development Appeal Board Rulings 2014 - This file contains Subdivision and Development Appeal Board Rulings for 2014. Additional information about the Subdivision and Development Appeal Board can be found at Subdivision and Development Appeal Board Page on calgary.ca.
91;Parks Trash Receptacles ; calgary  ;72;38;2017-11-23 15:07:16+00:00;  https://data.calgary.ca/d/fwyk-8pth ;Parks Trash Receptacles - Identifies the types of garbage and recycling containers maintained by Calgary Parks or located on lands under Calgary Park’s stewardship.
92;311 Service Requests Daily ; calgary  ;68;31;2017-11-23 15:15:47+00:00;  https://data.calgary.ca/d/hsks-48gk ;311 Service Requests Daily - This dataset contains the daily 311 service requests submitted.
93;Calgary Transit Access Customer Perceptions Survey ; calgary  ;68;46;2017-04-19 21:46:42+00:00;  https://data.calgary.ca/d/b8sk-kuy6 ;Calgary Transit Access Customer Perceptions Survey - This dataset contains Calgary Transit Access Customer Satisfaction survey results
94;ti; calgary  ;67;17;2017-05-09 16:48:42+00:00;  https://data.calgary.ca/d/q753-9xwi ;311 Customer Satisfaction Summary
95;Roads Maintenance Spring Clean Up ; calgary  ;66;30;2017-04-19 21:41:32+00:00;  https://data.calgary.ca/d/5erc-67p4 ;Roads Maintenance Spring Clean Up - This dataset contained kilometers traveled by sweepers during Spring Clean-up.
96;311 Call Centre Last Week ; calgary  ;66;34;2017-11-22 21:15:19+00:00;  https://data.calgary.ca/d/q5cw-jseb ;311 Call Centre Last Week - This dataset contains the daily 311 call centre activity and method of receipt of the request.
97;Parks Bollards ; calgary  ;65;31;2017-11-23 15:07:26+00:00;  https://data.calgary.ca/d/8wgh-srzu ;Parks Bollards - Bollards are short, vertical posts designed to obscure passageways or direct traffic flow.
98;Fire Emergency Response Calls Year to Date ; calgary  ;64;28;2017-11-23 13:45:30+00:00;  https://data.calgary.ca/d/2jz8-wskw ;Fire Emergency Response Calls Year to Date - This dataset contains YTD count of incidents responded by Fire department.
99;Transit CTrain Reliability ; calgary  ;64;8;2017-10-13 16:46:48+00:00;  https://data.calgary.ca/d/fjtk-i379 ;Transit CTrain Reliability - This dataset contains CTrain Ontime reliability ratings
100;Calgary.ca Web Analytics Yesterday ; calgary  ;63;3;2017-11-23 16:45:19+00:00;  https://data.calgary.ca/d/qspr-4is2 ;Calgary.ca Web Analytics Yesterday - The top 50 City of Calgary web pages based on visits yesterday.
101;311 Call Centre Annual ; calgary  ;63;32;2017-11-22 21:15:21+00:00;  https://data.calgary.ca/d/yimt-5dtw ;311 Call Centre Annual - This dataset contains the daily 311 call centre activity and method of receipt of the request.
102;Calgary Public Library Tours And Outreach Program Attendance 2014 ; calgary  ;60;29;2017-11-13 22:35:49+00:00;  https://data.calgary.ca/d/d52x-nvay ;Calgary Public Library Tours And Outreach Program Attendance 2014 - Calgary Public Library offers four types of Library tours. Each one provides you with a different experience of the Library and its resources.
103;Parks Sport Equipment ; calgary  ;60;33;2017-11-23 15:07:06+00:00;  https://data.calgary.ca/d/da6k-wpxb ;Parks Sport Equipment - Identifies the types of Playground Equipment maintained by Calgary Parks or located on lands under Calgary Parks Stewardship.
104;311 Service Requests by Channel ; calgary  ;60;25;2017-11-23 15:15:09+00:00;  https://data.calgary.ca/d/4kb3-w25e ;311 Service Requests by Channel - This dataset contains the 311 service requests submitted by channel.
105;Water Toilet Rebates Issued ; calgary  ;58;24;2017-04-19 21:50:12+00:00;  https://data.calgary.ca/d/icpq-sqsz ;Water Toilet Rebates Issued - This dataset contains number of rebates issued through the residential, multi-family and hotel/motel replacement programs.
106;Calgary.ca Web Analytics Past 30 Days ; calgary  ;59;1;2017-11-23 16:45:15+00:00;  https://data.calgary.ca/d/2bak-dk2r ;Calgary.ca Web Analytics Past 30 Days - The top 250 City of Calgary web pages based on visits over the past 30 days.
107;_S; calgary  ;56;22;2017-04-19 21:45:56+00:00;  https://data.calgary.ca/d/ea37-337c ;Roads_SNIC_Satisfaction
108;Central Business District Cordon Count 2015 ; calgary  ;56;32;2017-11-16 16:35:45+00:00;  https://data.calgary.ca/d/5eng-mjuy ;Central Business District Cordon Count 2015 - Every year in May, The City conducts the Central Business District (CBD) cordon count. The cordon count is performed at 31 locations around the CBD over a three week time period, collecting data on how people travel into and out of downtown Calgary. The CBD cordon circles the downtown with the Bow River to the north and the railway tracks to the south and from 11 Street in the west to the Elbow River in the east. For additional information see About --> Source URL.
